question_text;option_1;option_2;option_3;option_4;correct_answer;language;link_id;subject;topic;bloom_level
Hogyan nevezzük a globális V/Q elégtelenséget?;Magas V/Q határ;Sönt útvonal régió;Alacsony V/Q határ;Holttér kompartment;Alacsony V/Q határ;hu;RESP_24;Respiratory Physiology;Légzés (Bloom 1);1
Cheyne-Stokes breathing interspersed with what?;Normal breathing pattern;Tachypneic respiratory bursts;Bradypneic slow phases;Hypopneic shallow breaths;Normal breathing pattern;en;RESP_25;Respiratory Physiology;Légzés (Bloom 1);1
Mivel váltakozik a Cheyne-Stokes-légzés?;Normál légzési mintákkal;Tachypnoés légzési szakaszokkal;Bradypnoés lassú fázisokkal;Hypopnoés felületes légzésekkel;Normál légzési mintákkal;hu;RESP_25;Respiratory Physiology;Légzés (Bloom 1);1
In OSA, upper airway collapses due to what pressure?;Negative intraluminal pressure;Positive transmural pressure;Zero transrespiratory pressure;Atmospheric equalization pressure;Negative intraluminal pressure;en;RESP_26;Respiratory Physiology;Légzés (Bloom 1);1
OSA-ban miért omlik össze a felsõ légút?;A negatív intraluminális nyomás miatt;A pozitív transzmureális nyomás miatt;A nulla transzrespiratorikus nyomás miatt;Az atmoszférikus kiegyenlítõ nyomás miatt;A negatív intraluminális nyomás miatt;hu;RESP_26;Respiratory Physiology;Légzés (Bloom 1);1
What defines Cheyne-Stokes breathing?;Central apneas with normal pattern;Upper airway repeated collapse;Negative intraluminal airway pressure;Crescendo-decrescendo tidal volumes;Central apneas with normal pattern;en;RESP_27;Respiratory Physiology;Légzés (Bloom 1);1
Mi határozza meg a Cheyne-Stokes-légzést?;Centrális apnoék normál mintázattal váltakozva;A felsõ légutak ismételt összeomlása;Negatív intraluminális légúti nyomás;Crescendo-decrescendo légzési volumenek;Centrális apnoék normál mintázattal váltakozva;hu;RESP_27;Respiratory Physiology;Légzés (Bloom 1);1
During sleep in Cheyne-Stokes breathing, apneic episodes are?;Shorter than when awake;Less frequent than awake;Longer and more frequent;Same as when awake;Longer and more frequent;en;RESP_28;Respiratory Physiology;Légzés (Bloom 1);1
Alvás közben Cheyne-Stokes-légzésnél az apnoés epizódok milyenek?;Rövidebbek, mint ébren;Kevésbé gyakoriak, mint ébren;Hosszabbak és gyakoribbak;Ugyanolyanok, mint ébren;Hosszabbak és gyakoribbak;hu;RESP_28;Respiratory Physiology;Légzés (Bloom 1);1
In congestive heart failure patients, typical Cheyne-Stokes apneic episode length is?;10 to 30 seconds;Less than 10 seconds;30 to 60 seconds;More than 60 seconds;10 to 30 seconds;en;RESP_29;Respiratory Physiology;Légzés (Bloom 1);1
Pangásos szívelégtelenségben szenvedõ betegeknél mi a tipikus Cheyne-Stokes apnoés epizód hossza?;10-30 másodperc;Kevesebb mint 10 másodperc;30-60 másodperc;Több mint 60 másodperc;10-30 másodperc;hu;RESP_29;Respiratory Physiology;Légzés (Bloom 1);1
Cheyne-Stokes apneic episodes in heart failure are followed by?;Constant tidal volumes;Decreasing tidal volumes;Crescendo-decrescendo volumes;Absent tidal volumes;Crescendo-decrescendo volumes;en;RESP_30;Respiratory Physiology;Légzés (Bloom 1);1
Milyen légzési volumenek követik a Cheyne-Stokes apnoés epizódokat szívelégtelenségben?;Állandó légzési volumenek;Csökkenõ légzési volumenek;Crescendo-decrescendo volumenek;Hiányzó légzési volumenek;Crescendo-decrescendo volumenek;hu;RESP_30;Respiratory Physiology;Légzés (Bloom 1);1
In obstructive sleep apnea, upper airway tends to during apneas?;Completely stay open;Repeatedly collapse;Increase in tone;Generate positive pressure;Completely stay open;en;RESP_31;Respiratory Physiology;Légzés (Bloom 1);1
Obstruktív alvási apnoéban mire hajlamos a felsõ légút az apnoék alatt?;Teljesen nyitva marad;Ismételten összeomlik;Nõ a tónusa;Pozitív nyomást generál;Teljesen nyitva marad;hu;RESP_31;Respiratory Physiology;Légzés (Bloom 1);1
Obstructive sleep apnea (OSA) is most common in?;Obese patients;Young patients;Female patients;Thin patients;Obese patients;en;RESP_32;Respiratory Physiology;Légzés (Bloom 1);1
Melyik csoportban a leggyakoribb az obstruktív alvási apnoé (OSA)?;Elhízott betegek;Fiatal betegek;Nõi betegek;Vékony betegek;Elhízott betegek;hu;RESP_32;Respiratory Physiology;Légzés (Bloom 1);1
One risk factor for obstructive sleep apnea is?;Male gender;Small neck size;Age under 50;No family history;Male gender;en;RESP_33;Respiratory Physiology;Légzés (Bloom 1);1
Mi az obstruktív alvási apnoé egyik kockázati tényezõje?;Férfi nem;Kis nyakméret;50 év alatti életkor;Nincs családi kórtörténet;Férfi nem;hu;RESP_33;Respiratory Physiology;Légzés (Bloom 1);1
OSA prevalence in women older than 65 years is?;2 to 4 percent;4 to 9 percent;Less than 2 percent;Over 10 percent;2 to 4 percent;en;RESP_34;Respiratory Physiology;Légzés (Bloom 1);1
Mekkora az OSA prevalenciája a 65 évnél idõsebb nõk körében?;2-4 százalék;4-9 százalék;Kevesebb mint 2 százalék;Több mint 10 százalék;2-4 százalék;hu;RESP_34;Respiratory Physiology;Légzés (Bloom 1);1
Blood high viscosity increases what peripheral resistance?;Pulmonary vascular resistance;Systemic arterial resistance;Venous capacitance level;Capillary filtration rate;Pulmonary vascular resistance;en;RESP_35;Respiratory Physiology;Légzés (Bloom 1);1
A vér magas viszkozitása melyik perifériás ellenállást növeli?;Pulmonális vaszkuláris ellenállás;Szisztémás artériás ellenállás;Vénás kapacitás szintje;Kapilláris filtrációs ráta;Pulmonális vaszkuláris ellenállás;hu;RESP_35;Respiratory Physiology;Légzés (Bloom 1);1
Pulsatile blood flow causes what in capillaries?;Endothelial cell alignment;Smooth muscle relaxation;Platelet aggregation increase;Fibrin deposition layer;Endothelial cell alignment;en;RESP_36;Respiratory Physiology;Légzés (Bloom 1);1
Mit okoz a pulzáló véráramlás a kapillárisokban?;Az endothelsejtek sorba rendezõdése;Simaizom-ellazulás;Vérlemezke-aggregáció növekedése;Fibrin lerakódási réteg;Az endothelsejtek sorba rendezõdése;hu;RESP_36;Respiratory Physiology;Légzés (Bloom 1);1
Hypoxic pulmonary vasoconstriction mediated by what?;Pulmonary artery constriction;Bronchial artery dilation;Systemic vein compression;Aortic arch baroreceptors;Pulmonary artery constriction;en;RESP_37;Respiratory Physiology;Légzés (Bloom 1);1
Mi közvetíti a hypoxiás pulmonális vazokonstrikciót?;A tüdõartéria összehúzódása;A bronchiális artéria tágulása;A szisztémás vénák összenyomódása;Az aortív baroreceptorai;A tüdõartéria összehúzódása;hu;RESP_37;Respiratory Physiology;Légzés (Bloom 1);1
Lung inflation increases what vascular resistance?;Extra-alveolar vessel resistance;Alveolar capillary resistance;Bronchial venous resistance;Pleural lymphatic resistance;Extra-alveolar vessel resistance;en;RESP_38;Respiratory Physiology;Légzés (Bloom 1);1
A tüdõ felfújása melyik vaszkuláris ellenállást növeli?;Extra-alveoláris erek ellenállása;Alveoláris kapilláris ellenállás;Bronchiális vénás ellenállás;Pleuralis nyirokellenállás;Extra-alveoláris erek ellenállása;hu;RESP_38;Respiratory Physiology;Légzés (Bloom 1);1
Work of breathing equals what physical property?;Pressure times volume;Flow times resistance;Force times distance;Power times duration;Pressure times volume;en;RESP_39;Respiratory Physiology;Légzés (Bloom 1);1
Milyen fizikai tulajdonsággal egyenlõ a légzési munka?;Nyomás szorozva volumennel;Áramlás szorozva ellenállással;Erõ szorozva elmozdulással;Teljesítmény szorozva idõtartammal;Nyomás szorozva volumennel;hu;RESP_39;Respiratory Physiology;Légzés (Bloom 1);1
In emphysema, lung elastic recoil is what?;Markedly decreased;Significantly increased;Minimally altered;Completely preserved;Markedly decreased;en;RESP_40;Respiratory Physiology;Légzés (Bloom 1);1
Emphysemában milyen a tüdõ rugalmas visszarúgása (recoil)?;Kifejezetten csökkent;Jelentõsen megnövekedett;Minimálisan változott;Teljesen megtartott;Kifejezetten csökkent;hu;RESP_40;Respiratory Physiology;Légzés (Bloom 1);1
Hypopnea involves reduction of airflow to what extent?;Sixty percent of normal;One hundred percent normal;Thirty percent of normal;Zero percent airflow;Sixty percent of normal;en;RESP_41;Respiratory Physiology;Légzés (Bloom 1);1
Milyen mértékû légáramlás-csökkenést jelent a hypopnoe?;A normál 60 százaléka;Száz százalékban normál;A normál 30 százaléka;Nulla százalékos légáramlás;A normál 60 százaléka;hu;RESP_41;Respiratory Physiology;Légzés (Bloom 1);1
CPAP most effective for what primary purpose?;Repaying upper obstruction;Increasing lower ventilation;Decreasing central drive;Enhancing diaphragmatic tone;Repaying upper obstruction;en;RESP_42;Respiratory Physiology;Légzés (Bloom 1);1
Mi a CPAP legfõbb alkalmazási célja?;A felsõ légúti elzáródás megszüntetése;Az alsó ventiláció növelése;A centrális inger csökkentése;A rekeszizom tónusának fokozása;A felsõ légúti elzáródás megszüntetése;hu;RESP_42;Respiratory Physiology;Légzés (Bloom 1);1
Obstructive sleep apnea events most during what sleep stage?;Deep non-REM sleep;Light stage one sleep;Awake relaxed state;Rapid eye movement;Deep non-REM sleep;en;RESP_43;Respiratory Physiology;Légzés (Bloom 1);1
Melyik alvási szakaszban fordulnak elõ leginkább az obstruktív alvási apnoé események?;Mély non-REM alvás;Felszínes, 1-es fázisú alvás;Éber, ellazult állapot;Gyors szemmozgásos (REM) szakasz;Mély non-REM alvás;hu;RESP_43;Respiratory Physiology;Légzés (Bloom 1);1
Central type sleep apnea involves what brain mechanism?;Periodic brain stem lesions;Continuous cortical arousal;Steady medullary rhythm;Peripheral chemoreceptor failure;Periodic brain stem lesions;en;RESP_44;Respiratory Physiology;Légzés (Bloom 1);1
Milyen agyi mechanizmus játszik szerepet a centrális típusú alvási apnoéban?;Periodikus agytörzsi elváltozások;Folyamatos kérgi ébredés;Stabil medulláris ritmus;Perifériás kemoreceptor-elégtelenség;Periodikus agytörzsi elváltozások;hu;RESP_44;Respiratory Physiology;Légzés (Bloom 1);1
What defines failed upper airway dilation consequence?;Situational hypertension;Chronic hypotension;Steady normotension;Orthostatic intolerance;Situational hypertension;en;RESP_45;Respiratory Physiology;Légzés (Bloom 1);1
Mi a következménye a felsõ légutak sikertelen tágulásának?;Szituációs hipertónia;Krónikus hypotonia;Stabil normotonia;Ortosztatikus intolerancia;Szituációs hipertónia;hu;RESP_45;Respiratory Physiology;Légzés (Bloom 1);1
Alveolar hypoventilation directly increases what gas?;Arterial PCO2 level;Venous PO2 saturation;Capillary O2 tension;Alveolar nitrogen fraction;Arterial PCO2 level;en;RESP_46;Respiratory Physiology;Légzés (Bloom 1);1
Mit növel közvetlenül az alveoláris hypoventiláció?;Arteriális PCO2 szint;Vénás PO2 szaturáció;Kapilláris O2 feszültség;Alveoláris nitrogénfrakció;Arteriális PCO2 szint;hu;RESP_46;Respiratory Physiology;Légzés (Bloom 1);1
Obstructive apneas elevate risk for what embolism type?;Systemic thromboembolism;Pulmonary microembolism;Coronary thromboembolism;Cerebral microembolism;Systemic thromboembolism;en;RESP_47;Respiratory Physiology;Légzés (Bloom 1);1
Milyen típusú embólia kockázatát növelik az obstruktív apnoék?;Szisztémás tromboembólia;Pulmonális mikroembólia;Koronária-tromboembólia;Cerebrális mikroembólia;Szisztémás tromboembólia;hu;RESP_47;Respiratory Physiology;Légzés (Bloom 1);1
High blood viscosity primarily affects what resistance?;Pulmonary vascular resistance;Bronchial smooth resistance;Systemic capillary resistance;Pleural vascular resistance;Pulmonary vascular resistance;en;RESP_48;Respiratory Physiology;Légzés (Bloom 1);1
Melyik ellenállást befolyásolja elsõsorban a vér magas viszkozitása?;Pulmonális vaszkuláris ellenállás;Bronchiális simaizom-ellenállás;Szisztémás kapilláris ellenállás;Pleuralis vaszkuláris ellenállás;Pulmonális vaszkuláris ellenállás;hu;RESP_48;Respiratory Physiology;Légzés (Bloom 1);1
Pulsatile flow aligns what in pulmonary capillaries?;Endothelial cells;Smooth muscle cells;Red blood cells;White blood cells;Endothelial cells;en;RESP_49;Respiratory Physiology;Légzés (Bloom 1);1
Mit rendez sorba a pulzáló áramlás a tüdõkapillárisokban?;Endothelsejtek;Simaizomsejtek;Vörösvértestek;Fehérvérsejtek;Endothelsejtek;hu;RESP_49;Respiratory Physiology;Légzés (Bloom 1);1
Hypoxic vasoconstriction occurs in what vessels?;Pulmonary artery vessels;Systemic artery vessels;Pulmonary vein vessels;Bronchial artery vessels;Pulmonary artery vessels;en;RESP_50;Respiratory Physiology;Légzés (Bloom 1);1
Melyik erekben fordul elõ hypoxiás vazokonstrikció?;Tüdõartériák;Szisztémás artériák;Tüdõvénák;Bronchiális artériák;Tüdõartériák;hu;RESP_50;Respiratory Physiology;Légzés (Bloom 1);1
Lung inflation affects what vessel type resistance?;Extra-alveolar vessels;Alveolar arterioles;Intrapleural venules;Bronchial capillaries;Extra-alveolar vessels;en;RESP_51;Respiratory Physiology;Légzés (Bloom 1);1
A tüdõ felfújása melyik értípus ellenállását befolyásolja?;Extra-alveoláris erek;Alveoláris arteriolák;Intrapleurális venulák;Bronchiális kapillárisok;Extra-alveoláris erek;hu;RESP_51;Respiratory Physiology;Légzés (Bloom 1);1
Work of breathing defined as what product?;Pressure volume product;Flow resistance product;Force distance product;Power time product;Pressure volume product;en;RESP_52;Respiratory Physiology;Légzés (Bloom 1);1
Hogyan definiáljuk a légzési munkát mint szorzatot?;Nyomás-volumen szorzat;Áramlás-ellenállás szorzat;Erõ-elmozdulás szorzat;Teljesítmény-idõ szorzat;Nyomás-volumen szorzat;hu;RESP_52;Respiratory Physiology;Légzés (Bloom 1);1
Emphysema decreases what lung property?;Elastic recoil force;Airway smooth tone;Capillary bed density;Mucociliary transport;Elastic recoil force;en;RESP_53;Respiratory Physiology;Légzés (Bloom 1);1
Mit csökkent az emphysema a tüdõben?;Rugalmas visszarúgó erõ (elastic recoil);Légúti simaizomtónus;Kapilláriságy denzitása;Mucociliáris transzport;Rugalmas visszarúgó erõ (elastic recoil);hu;RESP_53;Respiratory Physiology;Légzés (Bloom 1);1
Left heart failure elevates what initial pressure?;Pulmonary artery pressure;Systemic venous pressure;Right atrial pressure;Left atrial pressure;Pulmonary artery pressure;en;RESP_54;Respiratory Physiology;Légzés (Bloom 1);1
A bal szívfélelégtelenség melyik nyomást emeli meg kezdetben?;Pulmonális artériás nyomás;Szisztémás vénás nyomás;Jobb pitvari nyomás;Bal pitvari nyomás;Pulmonális artériás nyomás;hu;RESP_54;Respiratory Physiology;Légzés (Bloom 1);1
Recurrent hypoxia in heart failure due to what?;Periodic breathing pauses;Continuous deep breathing;Steady normal breathing;Intermittent fast breathing;Periodic breathing pauses;en;RESP_55;Respiratory Physiology;Légzés (Bloom 1);1
Mi okozza a visszatérõ hypoxiát szívelégtelenségben?;Periodikus légzési szünetek;Folyamatos mélylégzés;Stabil normál légzés;Intermittáló gyorslégzés;Periodikus légzési szünetek;hu;RESP_55;Respiratory Physiology;Légzés (Bloom 1);1
High pulmonary pressure causes what in alveoli?;Fluid transudation;Gas redistribution;Protein exudation;Cell proliferation;Fluid transudation;en;RESP_56;Respiratory Physiology;Légzés (Bloom 1);1
Mit okoz a magas pulmonális nyomás az alveolusokban?;Folyadék-transzudáció;Gáz-újdonságelosztás;Fehérje-exudáció;Sejtproliferáció;Folyadék-transzudáció;hu;RESP_56;Respiratory Physiology;Légzés (Bloom 1);1
Blood high viscosity noted at what level?;Higher than 4 cP;Lower than 2 cP;Equal to 3 cP;Variable daily range;Higher than 4 cP;en;RESP_57;Respiratory Physiology;Légzés (Bloom 1);1
Milyen szintnél beszélünk magas vérviszkozitásról?;4 cP-nél magasabb;2 cP-nél alacsonyabb;3 cP-vel egyenlõ;Változó napi tartomány;4 cP-nél magasabb;hu;RESP_57;Respiratory Physiology;Légzés (Bloom 1);1
Hypopnea caption specifies what lung volume?;Low lung volume;High lung volume;Normal lung volume;Variable lung volume;Low lung volume;en;RESP_58;Respiratory Physiology;Légzés (Bloom 1);1
A hypopnoe felirata melyik tüdõtérfogatot jelöli meg?;Alacsony tüdõtérfogat;Magas tüdõtérfogat;Normál tüdõtérfogat;Változó tüdõtérfogat;Alacsony tüdõtérfogat;hu;RESP_58;Respiratory Physiology;Légzés (Bloom 1);1
Eupnea pattern shown with what lung volume?;Normal lung volume;Reduced lung volume;Expanded lung volume;Minimal lung volume;Normal lung volume;en;RESP_59;Respiratory Physiology;Légzés (Bloom 1);1
